file,sent_idx,term,sentence,suggestion
1995 - gemini.txt,244,simple,"Independently of the location of users at the telescope site, they shall be able to access (according to their privileges) any part of the whole setup with a simple logon and configuration operation.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,247,simple,A particularly simple case of multi-use of the system is multi-point monitoring.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,258,efficient,"OBSERVING MODE REQUIREMENTS Requirements: A.Normally executed with the sequencer by providing a computer executable program, in order to make efficient use of the Gemini telescope.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,267,efficient,"Queue-based observing is the primary observation mode used with the Gemini telescopes, as it is the best means of providing sound science data while maximizing efficient use of the telescope.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,271,simple,"In addition, this should be a visu- ally-oriented environment providing a simple, easy-to-use interface to the astronomer.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,271,easy,"In addition, this should be a visu- ally-oriented environment providing a simple, easy-to-use interface to the astronomer.","Specify what 'easy' means (install, learn, use) with measurable criteria."
1995 - gemini.txt,336,simple,"In addition, this should be avisually-ori- ented environment providing a simple, easy-to-use interface to the astronomer.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,336,easy,"In addition, this should be avisually-ori- ented environment providing a simple, easy-to-use interface to the astronomer.","Specify what 'easy' means (install, learn, use) with measurable criteria."
1995 - gemini.txt,342,efficient,"But interactive observing is perhaps, in some cases, not the most efficient way to achieve this, although it will be necessary for certain kinds of observations (such as adaptive optics) and in certain phases (such as commissioning and test periods).","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,352,efficient,"To achieve efficient service observing, queue observing, and flexible scheduling, it should be possible to carry out observations automatically, in accordance with pre- defined sequences of exposures, as is commonly done in space observatories.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,371,reliable,"C.The support structure for communicating commands must be reliable, with a uniform ACK/NAK protocol adopted across all systems.","Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
1995 - gemini.txt,394,secure,"There is a first level of storage within IOCs, to secure data in the event of link failures.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1995 - gemini.txt,405,fast,The requirements for transferring video data are: A.The system must allow for fast transmission of rough images every0.5 sec.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
1995 - gemini.txt,411,simple,These privileges should be determined in a simple manner during logging into the system.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,448,simple,"In case of computer hardware failure concerning the user station equipment, it shall be possible to transfer control from one user station to another via a simple software reconfig- uration procedure.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,492,efficient,3 The final purpose of the Gemini 8m Telescopes software is the acquisition of astronomical data in digital form in the most efficient way.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,511,secure,"However, there must be at least two copies - one to secure data as acquired and one to do assessment of data quality on-line (this last copy preferably on removable media).","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1995 - gemini.txt,514,fast,"There might, however, be cases (for example, infrared detectors) where fast prepro- cessing is needed and where, therefore, raw data will not be stored as such, but in a preprocessed format.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
1995 - gemini.txt,585,efficient,"In order to make efficient use of the telescope, to support different observing modes, and to support the versatility requirements, some form of on-line image (or pixel) quick-look analysis is required.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,590,fast,"Quick-look data processing should be provided on the Gemini 8m Telescopes, with procedures suitable for fast on-line data preprocessing.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
1995 - gemini.txt,594,simple,Near-line processing should be available for simple data reductions required for data integrity validation (i.e.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,654,scalable,"C.Common development and implementation tools must be both available and sup- ported D.Identical network access must be supported E.Local processing power must be such that telescope and instrument control does not represent a significant overhead in the whole process of executing an observing pro- gram (the overhead, if any, should be limited by the time it takes for physical devices to act) GENERAL CONSTRAINTS F.The choice of a scalable hardware architecture with computers at various performance levels should solve the problem of adequate on-line data assessment, as the amount of this activity is very variable and dependent upon the kind of detector and method used.","Quantify scale, e.g., 'supports 10k concurrent users with <X latency'."
1995 - gemini.txt,666,easy,E.There must be easy procedures to reconfigure the system when subsystems are modified or removed.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
1995 - gemini.txt,684,simple,"The specific attributes described in this document are: • Simplicity • Supportability • Reliability and Availability • Maintainability • Human Engineering • Security and Safety • Environmental Compatibility • Testability ATTRIBUTES • Expandability • Modularity • Concurrency I think you should include Rick’s information about complexity criteria here, so show that we are aiming to achieve as simple as system as we can which meets the requirements.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,718,simple,Simple mechanisms should exist for replacing a subsystem with its simulation.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1995 - gemini.txt,766,reliable,This interlock must not depend on any software for reliable operation.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
1995 - gemini.txt,808,secure,"The purpose of this is to: •make the development process visible (for quality and maintenance reasons) •avoid incomplete specifications •discover errors early (via review and audit procedures) •secure structured, maintainable software •guarantee software quality •improve and ease cooperation.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1995 - gemini.txt,832,efficient,"During science planning, there should be validity and feasibility checks to help ensure effective and efficient use of the telescope.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1995 - gemini.txt,836,easy,All telescope and instrument parameters are kept in an on line database to permit easy implementation of table-driven applications.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
1998 - themas.txt,162,efficient,This function is mainly for the use of the supervisor of the THEMAS system to maintain an efficient heating and cooling system.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1999 - dii.txt,130,reliable,"Redundant Array of Inexpensive Disks (RAID): A RAID system appears as one very large, reliable disk to the CPU.","Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
1999 - tcs.txt,655,efficient,[SSS421] The system shall be functionally and physically partitioned to allow for efficient fault isolation.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1999 - tcs.txt,657,efficient,[SSS423] Test points and data paths shall be defined to support efficient fault isolation.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1999 - tcs.txt,713,simple,"[SSS470] The TCS shall provide automated TCS system information, control options, and logical & simple operator guidance and support for immediate and adaptive responding to crisis situations.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
1999 - tcs.txt,716,efficient,"[SSS473] The TCS shall minimize alphanumeric data display in favor of graphic, pictorial information display [SSS474] The TCS HCI shall provide unambiguous AV and payload control and status feedback indicators to ensure safe, efficient operations of two AVs and their payloads by a single TCS station.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
1999 - tcs.txt,918,easy,SSS476 TCS Block 0 TCS 102 Version 2.0 2/12/99 ORD020 The TCS shall have monitor(s) that provide easy reading of displays.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
1999 - tcs.txt,919,easy,SSS446 The TCS shall have monitor(s) that provide easy reading of displays under direct sunlight and low light level environments.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
1999 - tcs.txt,1477,secure,"MAE0013 YES IPL/IPA in the GCS 3 to receive, extract and push intelligence data 3.4 Mission Launch and recovery Ergonomically designed and provideAutomatic launchMAE0003 YES MAE0013 YES Subsystem (4.1.3.2) sufficient cues to allow pilot to safely and recovery system 8 4 Take-Off and Land and navigate under IFR conditions 3.5 Communications Subsystems Secure / Non-secure Interfaces Feed allMAE0003 YES MAE0013 YES CIGSS/USIS systems 9 5 Provide Interfaces to existing in theater worldwide and local comm.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1999 - tcs.txt,1789,secure,CRS0028 The system shall have UHF communications (capable of secure Threshold .,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1999 - tcs.txt,1847,secure,121 TCS Block 0 TCS 102 Version 2.0 2/12/99 CR ORD REQUIREMENT DESCRIPTION CR ORD CR ORD TCS ORD TCS ORD RQMT THRESHOL OBJECTIVE THRESHOL OBJECTIVE TRACE # D RQMT RQMT D COMPATIBL COMPATIBL E E CRS0048 A UHF radio/data relay for communications (secure during Threshold .,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
1999 - tcs.txt,2028,secure,"N/A CRS0107 The PGCS will have one secure VHF radio, one small unit radio, Threshold .","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2001 - beyond.txt,207,easy,A first step towards adaptive user interfaces is to have an easy way to create customisable or “flexible” user interfaces.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,217,easy,The high level requirements for this authoring tool are: • The authoring tool should allow easy modification of the behaviour of user interfaces.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,218,easy,• The authoring tool should support easy development of adaptive user interfaces.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,219,efficient,• The authoring tool should allow the functional requirements specification of the next generation of consumer products to be developed in a much faster and efficient manner.,"Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2001 - beyond.txt,239,user-friendly,"General changing requirements and extensions In general, an authoring tool is a software development tool which aims at the construction of application programs in a user-friendly way, and which allows a significant reduction in development lead-time.","Replace with measurable usability criteria, e.g., 'Novice user completes task X in ≤ 90s with ≥90% success.'"
2001 - beyond.txt,320,user friendly,• The UI Editor itself should be a powerful and user friendly tool.,"Replace with measurable usability criteria, e.g., 'Novice user completes task X in ≤ 90s with ≥90% success.'"
2001 - beyond.txt,338,easy,"This is a summary of the remarks that have been made on this prototype: • The user interface of the editor makes the program quite easy to use, which is very important before any definite product can be made and sold.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,373,user friendly,"• In general, the UI Editor should be a user friendly and powerful development tool.","Replace with measurable usability criteria, e.g., 'Novice user completes task X in ≤ 90s with ≥90% success.'"
2001 - beyond.txt,389,fast,"However, all remarks were very useful for the evaluation of this first prototype: • Tree-Type overview looks very familiar to most users, might seem complicated at first sight, it gives fast access to all modalities of the editor • An important usability requirement with respect to the UI-Editor is the WYSIWYG layout using the Windows Guidelines.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - beyond.txt,394,easy,• Font creation/modification is really easy and performing well.,"Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,461,easy,"The flight crew then has to determine the most critical problem and the right procedure to solve it, not an easy task for the human being with only a limited view of the situation and it is clear that situations like these contribute considerably to pilot workload.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - beyond.txt,463,intuitive,It is expected that an intelligent adaptive interface that presents the right information in the right format (integrated and intuitive for that particular situation) at the right time (with an appropriate alerting strategy) can significantly increase flight safety.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2001 - beyond.txt,476,efficient,"If the automation thinks that for the current situation a different presentation may be more efficient, it may suggest an adaptation that has to be agreed upon by the pilot.","Replace with resource bound, e.g., 'CPU ≤ 10% at normal load' or 'throughput ≥ 100 req/s'."
2001 - beyond.txt,483,simple,Simple adaptation gives the opportunity to users to tailor the system to their own needs and preferences.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - beyond.txt,492,simple,BEYOND Public Deliverable 8 Functional Specifications and Architecture 31 February 2001 ITEA 99002 BEYOND • Carrying out some simple actions by comparing the active procedures with the pilot’s actions.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - beyond.txt,552,intuitive,"Furthermore, the consequences of the adaptation on the user interface itself should be intuitive, and BEYOND Public Deliverable 8 Functional Specifications and Architecture 35 February 2001 ITEA 99002 BEYOND support visual momentum.","Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2001 - elsfork.txt,56,simple,The CRC check calculation may be simple or complex depending on the protocol being used.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - elsfork.txt,188,simple,"A single wind turbine or a wind turbine clus- ter has minor impact on the power network • The properties and functions of the wind turbine(s), being rather simple compared to a wind farm.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - elsfork.txt,191,simple,The installation will typically have a very simple high voltage feeder to the network.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - elsfork.txt,209,robust,"The system shall be robust and reliable, but the system shall not be used for the safe and secure operation of the plant.","Specify failure modes and recovery time, e.g., 'recovers within 5s after transient failure'."
2001 - elsfork.txt,209,reliable,"The system shall be robust and reliable, but the system shall not be used for the safe and secure operation of the plant.","Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2001 - elsfork.txt,209,secure,"The system shall be robust and reliable, but the system shall not be used for the safe and secure operation of the plant.","Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2001 - elsfork.txt,271,reliable,In order to accomplish this the basic services of the communication system shall include the following: • Connection establishment and release • Authentication • Identification of functional object and devices • Data access and transfer • Reliable communication over a network 5.2 Data Transfer Principles Data can be transferred according to one of the following principles: A.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2001 - elsfork.txt,343,fast,Time critical functions must be based on fast and reliable transmission of a number of se- lected data types.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - elsfork.txt,343,reliable,Time critical functions must be based on fast and reliable transmission of a number of se- lected data types.,"Specify reliability target, e.g., 'availability ≥ 99.9% monthly'."
2001 - elsfork.txt,586,easy,"Since XML is non-proprietary and easy to read and write, it's an excellent format for the interchange of data among different applications.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - elsfork.txt,587,simple,The XML data can be transmitted over TCP/IP or other layers like simple RS232.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - esa.txt,35,simple,"• Clear: It is singular, concise, and simple.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - hats.txt,121,user-friendly,"The goal of developing the HATS-GUI is to make the system more user-friendly, make the user interface platform independent, and to increase the use of the HATS system.","Replace with measurable usability criteria, e.g., 'Novice user completes task X in ≤ 90s with ≥90% success.'"
2001 - hats.txt,295,intuitive,The HATS-GUI is intended to provide HATS users with an intuitive graphical interface to the HATS system.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2001 - hats.txt,340,intuitive,The HATS-GUI is a system that will provide a user with an intuitive interface to HATS-SML.,"Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2001 - hats.txt,1557,simple,"Example For example, assume we have the following grammar describing simple expressions.","Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - space fractions.txt,85,fast,Bobby will be captivated by the storyline and will wish to progress as fast as possible.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - space fractions.txt,94,intuitive,"Upon correct submission of her password, she uses an intuitive web forms interface to update the game to her desiring.","Replace with usability metric, e.g., 'Task success rate ≥ 85% in usability test.'"
2001 - space fractions.txt,97,simple,The interface for this program will be relatively simple.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - space fractions.txt,151,secure,3.4 Quality Attributes The product will be as secure as the web browser that will run the product.,"Specify exact controls / standards, e.g., 'TLS1.2+; AES-256 for data at rest'."
2001 - space fractions.txt,155,easy,"For example, using appropriate sub- (cid:122) scenes in the main Flash game to split up the code will allow for easy alteration at a later date.","Specify what 'easy' means (install, learn, use) with measurable criteria."
2001 - telescope.txt,190,simple,These controllers are simple on-off type with hysteresis.,"Replace with concrete steps or complexity limit, e.g., '≤ 3 steps to complete X'."
2001 - telescope.txt,333,fast,"At this point, the S/C has come to within ten arc minutes of the target or the observation preliminary activities are complete, and the software switches to the fast timing mode.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,345,fast,"Next, the software enters the fast timing mode.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,403,fast,"Report and transmit via TDRSS within 1200 seconds of burst alert Collect and transmit Postage Stamp Image Report to spacecraft Photo-Diode Mode (Fast Timing) On receipt of Slew Start, or Read out prior mode Acquire and accumulate data timing mode pixels.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,404,fast,"The purpose of Photo-Diode Mode Observation of target with is to measure the rate of burst count rate between 40 and Select and download Produce Fast Timing decay at a much higher rate (0.5 8500 cps, or sequencer program Frame Report and transmit msec) by collapsing the entire CCD to spacecraft.","Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,436,fast,Science Telemetry Rates for Typical 30 Minute Observation Time Since Burst (sec) Time Since Slew Settle Duration Flux Report Bytes Number Total Bytes Bits per (sec) * (cps) per of Second Report Reports Start Stop Start Stop 50 55 0 5 5 N/A XRT Position 960 1 960 1536 55 56 5 6 1 N/A XRT Image 5760 1 5760 46080 56 100 6 50 44 3000 Fast Timing 1050 528 554400 100800 100 300 50 250 200 1000 Fast Timing 1050 800 840000 33600 300 1000 250 950 700 300 Fast Timing 1050 840 882000 10080 1000 1150 950 1100 150 100 Fast Timing 1050 60 63000 3360 1050 1150 1000 1100 100 N/A XRT 2880 1 2880 230.4 Spectrum 1150 1850 1100 1800 700 100 Fast Timing 1050 280 294000 3360 0 1800 1800 N/A 30 min 2643000 11747 Automated Observation Assume time duration of slew is 50 sec.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
2001 - telescope.txt,446,fast,Science Data Rates for Theoretical 24-Hour Observation Time Since Burst (sec) Time Since Slew Settle Duration Flux Report Bytes Number Total Bytes Bits per (sec) * (cps) per of Second Report Reports Start Stop Start Stop 50 55 0 5 5 N/A XRT Position 960 1 960 1536 55 56 5 6 1 N/A XRT Image 5760 1 5760 46080 56 100 6 50 44 3000 Fast Timing 1050 528 554400 10080 0 100 300 50 250 200 1000 Fast Timing 1050 800 840000 33600 300 1000 250 950 700 300 Fast Timing 1050 840 882000 10080 1000 1150 950 1100 150 100 Fast Timing 1050 60 63000 3360 1050 1150 1000 1100 100 N/A XRT 2880 1 2880 230.4 Spectrum 1150 3000 1100 2950 1850 100 Fast Timing 1050 740 777000 3360 3000 10000 2950 9950 7000 30 Slow Timing 360 2800 1008000 1152 10000 30000 9950 29950 20000 10 Slow Timing 160 8000 1280000 512 30000 86450 29950 86400 56450 3 Photon 210 22580 4741800 672 Counting 0 86400 86400 N/A 24 Hour 10155800 940.4 Automated Observation Assume time duration of slew is 50 sec.,"Replace with quantifiable timing, e.g., 'Response time ≤ 200 ms under N concurrent users.'"
