file,acronym,issue,sent_idx,sentence,guessed_expansion
2001 - beyond.txt,IRDA,undefined_in_document,317,"This communication is done using different kinds of interfacing (Serial port, USB, FireWire, IrDa, CAN, …).",
2001 - beyond.txt,PLUGIN,undefined_in_document,342,"In fact, all functional requirements were fulfilled, but we noticed a major lack in the approach of the software: PlugIn-Capability.",
2001 - beyond.txt,OPENGL,undefined_in_document,561,"Furthermore, all user interfaces (displays, controls) are programmed in OpenGL.",
2001 - beyond.txt,ALM,undefined_in_document,570,"[2] Abeloos, A..L.M., Mulder, M., and van Paassen, M.M.",
2001 - ctc network.txt,TXDOT,undefined_in_document,35,Worth (DFW) Regional “Center-to- Center (C2C) Communications Network” that is based on a Texas Department of Transportation (TxDOT) C2C project.,Texas Department
2001 - ctc network.txt,TMCS,undefined_in_document,36,The TxDOT C2c project initially connected the DFW TxDOT Traffic Management Centers (TMCs).,Texas Department
2001 - elsfork.txt,SCADA,undefined_in_document,5,Syftet med denna specifikation av funktionella krav är att definiera villkor för etablering och drift av ett system för datakommunikation mellan kontrollsystemet i ett vindkraft- verk och datorer för fjärrövervakning (SCADA).,
2001 - elsfork.txt,QOS,undefined_in_document,103,"[2] Quality of Service A set of characteristics of a connection described in terms of qual- (QoS) ity of service (QoS) parameters, normally negotiated between peer entities.",
2001 - elsfork.txt,SIGNALID,undefined_in_document,737,"gear hotspot høj ""True"" AL Date+time Counter +1 on shift to true Page C-12 ELFORSK Name (SignalID) Description Unit Value Kind Accuracy Priority Time tag Remark.",
2001 - esa.txt,SWRI,undefined_in_document,94,and distribution Management Plan 3.7 Logistics-Related Requirements The SwRI software team shall provide system maintenance and software support.,
2001 - hats.txt,NXN,undefined_in_document,225,"Tree A tree T<N,E> is an abstract data type composed of a set of nodes N and a set of directed edges E:NxN.",
2001 - hats.txt,PM,undefined_in_document,275,3:00 p.m.,
2001 - hats.txt,XTLP,undefined_in_document,1053,"For example, given a transformation language program X.tlp, the file X.tlp.parsed is generated when the parser is executed.",
2001 - hats.txt,TARGETSDT,undefined_in_document,1500,This file is written to the path specified by the third argument (targetSDT).,
2001 - hats.txt,PROGRAMSDT,undefined_in_document,1505,This file is written to the path specified by the third argument (programSDT).,
2001 - telescope.txt,SWRI,undefined_in_document,3,"0 April 23, 2001 SwRI Project No.",San Antonio
2001 - telescope.txt,GRBS,undefined_in_document,114,The goal of the Swift mission is to determine the origin of Gamma-Ray Bursts (GRBs) and to exploit data from these bursts to probe the early universe.,
2001 - telescope.txt,DACS,undefined_in_document,126,The Relay board also has the Digital- to-Analog Converters (DACs) for controlling the CCD voltages.,Dual Redundant
2001 - telescope.txt,CSCS,undefined_in_document,275,"0 Software Requirements Specification Page 15 4.OVERVIEW This section provides an overview of the FSW including a system context, operational concepts, goals and constraints, and a list of the computer software components (CSCs) which comprise the FSW.",
2001 - telescope.txt,FOM,undefined_in_document,314,0 Software Requirements Specification Page 18 D IS_AT_TARGET is a sub-field flag of the FO_NEXTOBS_INFO message from the FoM.,
2001 - telescope.txt,CSCIS,undefined_in_document,533,0 Software Requirements Specification Page 30 4.5Software Components The Software Development Plan for the XCP lists and identifies the computer software configuration items (CSCIs) for the FSW and ground software.,
2002 - evla back.txt,NAN,undefined_in_document,23,"NaN – Literally, “Not a Number”.",
2002 - sce api.txt,SOC,undefined_in_document,9,SCE-API Version 1.0 Revision 1.9 1 of 94 Introduction 1.0 Introduction 1.1 Purpose There is an urgent need for the EDA industry to meet the exploding verification requirements of SoC design teams.,
2002 - sce api.txt,COWARE,undefined_in_document,25,"The founding participants in the consortium are Aptix, CoWare, Ikos Systems, Mentor Graphics, ST Microelectronics, Synopsys, and TransEDA.",
2002 - sce api.txt,SCEMI,undefined_in_document,339,"Once the error handler is registered, the SCE-MI is initialized by calling SceMi::Init().",
2002 - sce api.txt,NEWDAY,undefined_in_document,382,"This will, in turn, cause the Calendar model to announce the arrival of day one via the NewDay inslave port.",
2002 - sce api.txt,DUTYHI,undefined_in_document,534,"DutyHi=0, DutyLo=100, Phase=0 The duty cycle is expressed with arbitrary integers that are normalized to their sum such that the sum of DutyHi and DutyLo represent the number of units for a whole cycle of the clock.",
2002 - sce api.txt,DUTYLO,undefined_in_document,534,"DutyHi=0, DutyLo=100, Phase=0 The duty cycle is expressed with arbitrary integers that are normalized to their sum such that the sum of DutyHi and DutyLo represent the number of units for a whole cycle of the clock.",
2002 - sce api.txt,SCEMIOK,undefined_in_document,705,"Because every API call returns either a success or fatal error status, and because the detailed nature of errors is fully described within the returned error message, the SceMiErrorType enum has only two values pertaining to success (SceMiOK) or failure (SceMiError).",
2002 - sce api.txt,SCEMIERROR,undefined_in_document,705,"Because every API call returns either a success or fatal error status, and because the detailed nature of errors is fully described within the returned error message, the SceMiErrorType enum has only two values pertaining to success (SceMiOK) or failure (SceMiError).",
2002 - sce api.txt,SETBIT,undefined_in_document,890,"void SceMiMessageData::SetBit( unsigned int i, int bit, SceMiEC *ec = NULL ); Set bit element i of the message vector to 0 if bit == 0, 1 otherwise.",
2002 - sce api.txt,GETBIT,undefined_in_document,896,"int SceMiMessageData::GetBit( unsigned int i, SceMiEC *ec = NULL ) const; Return the value of bit element i in the message vector.",
2003 - pnnl.txt,DADS,undefined_in_document,91,Fixed Data Sensed Data Data Acquisition Devices (DADs) Automatic and user- Data Visualization defined plots Software (e.g.,Data Visualization
2003 - pnnl.txt,CHWDDOWN,undefined_in_document,1035,Chilled Water Supply Temperature Lower CHWST Lower Temperature difference in Bound = CHW Setpoint - (CHWdDown).,Chilled Water Supply Temperature Lower
2003 - pnnl.txt,CHWDUP,undefined_in_document,1050,Bound = CHW Setpoint + (CHWdup).,Chilled Water Supply Temperature Upper
2003 - pnnl.txt,DOC,undefined_in_document,1444,aecdoe software requirements specification1-1pnnl14382.doc Page 170 of 176,
2003 - tachonet.txt,DES,undefined_in_document,38,(DES) This section should indicate any design constraints on the system being built.,
2003 - tachonet.txt,STD,undefined_in_document,47,"For example, this Requirements could include legal, quality and regulatory standards, industry standards for usability, (STD) interoperability, internationalization, operating system compliance, etc.",Software Requirements Specification
2003 - tachonet.txt,FI,undefined_in_document,90,Supportability The table hereafter lists all the non-functional “supportability” requirements: requirements Supportability Description Requirement Id SUP-01 The system should be able to support other types of message structure to cover f.i.,
2003 - tachonet.txt,TACHONET,undefined_in_document,128,"CIA Administrator The TCN (TACHOnet) Administrator is in charge of administering the whole TACHOnet services in terms of configuration, performance, logging, tracking,...",
2003 - tachonet.txt,TCNREFID,undefined_in_document,140,2 TACHOnet validates its syntax and assigns it a TACHOnet refid (TCNRefId).,
2004 - e-procurement.txt,SMES,undefined_in_document,22,"Cross-Government eProcurement standards also benefit Sellers, particularly small to medium-sized enterprises (SMEs).",
2004 - e-procurement.txt,OEE,undefined_in_document,25,"| | 1.3 Method| | This work has been undertaken within the e-Commerce team in the Office of Government Commerce (OGC), reporting to a joint eProcurement Interoperability Working Group of the OGC and the Office of the e-Envoy (OeE).",
2004 - e-procurement.txt,PAON,undefined_in_document,150,"| Primary Addressable Object Name|(PAON) is the premise number and/or premise name, or where neithe rof these exist it is the name of the organisation in occupation or a description of the addressable object e.g.",Primary Addressable Object Name
2004 - e-procurement.txt,SAON,undefined_in_document,152,"| Secondary Addressable Object Name|(SAON) is the number, name or description used to identify a secondary address within a primary addressable object e.g.",Secondary Addressable Object Name
2004 - e-procurement.txt,INCVAT,undefined_in_document,235,"Documents, below.| || Total IncVAT|is the Document total including VAT.",
2004 - grid bgc.txt,NETCDF,undefined_in_document,246,User must upload data files to the system 1.1.1: Reference required NetCDF file convention 1.1.2: Specify required archive structure 2.,New Blank Object
2004 - rlcs.txt,DOC,undefined_in_document,495,See SRSMatrixFromTransCore2.doc for the matrix in order by TransCore-produced system requirements.,
2004 - watcom gui.txt,TRMEM,undefined_in_document,64,General GUI Porting Approach The Watcom GUI library depends on the Watcom Programming Interface (WPI) and Memory Tracker (TrMem) libraries.,
2004 - watcom gui.txt,REDHAT,undefined_in_document,96,"Target System Requirements GTK is broadly adopted among the major Linux distribution vendors including RedHat, SuSE, TurboLinux.",
2004 - watcom gui.txt,SUSE,undefined_in_document,96,"Target System Requirements GTK is broadly adopted among the major Linux distribution vendors including RedHat, SuSE, TurboLinux.",Software Requirements Specification
2004 - watcom gui.txt,CLEAR,undefined_in_document,628,"Since the function doesn't allow specifying which input device should be tested, it isn't clear.Shift key on which input device should be checked.",
2004 - watcom.txt,ELFHDR,undefined_in_document,133,Task 1 is performed in void SetHeaders( ElfHdr *hdr ).,
2004 - watcom.txt,LAYREG,undefined_in_document,193,"_Emit; Opcodes are inserted using the special functions, e.g.: void LayOpbyte( opcode op ); void LayOpword( opcode op ); void LayReg( hw_reg_set r ); void LayRegOp( name *r ); void LayRMRegOp( name *r ); Sample: Generating PUSHF _Code; LayOpbyte( 0x9C ); _Emit; However, there are more digestible functions for common cases, e.g.",
2004 - watcom.txt,OWELFC,undefined_in_document,223,We are interested mainly in the ELF (owelf.c).,
2004 - watcom.txt,OWLH,undefined_in_document,309,Abstract relocation types are defined in owl.h.,
2004 - watcom.txt,EH,undefined_in_document,393,hdr->eh.e_type = FmtData.dll ?,
2004 - watcom.txt,RELDYN,undefined_in_document,459,"However, a shared object should contain single relocation table .rel.dyn.",
2004 - watcom.txt,RELPLT,undefined_in_document,523,Instructions pushl $offset pushes the offset of such relocation in the PLT relocation table (rel.plt).,
2004 - watcom.txt,STARTO,undefined_in_document,627,_start in dietlibc's start.o.,
2005 - clarus low.txt,CONOPS,undefined_in_document,16,"These requirements capture the expression of general needs in the Clarus Concept of Operations (ConOps), in meetings with potential users and participants, and in subsequent documents identified below.",Clarus Weather System Design Detailed System
2005 - clarus low.txt,DOTS,undefined_in_document,28,"1) Provide a North American resource to collect, quality check, and make available surface transportation weather and road condition observations so that State Departments of Transportation (DOTs) and other transportation agencies can be more productive in maintaining safety and mobility on all roads and surface transportation platforms.",
2005 - clarus low.txt,NETCDF,undefined_in_document,143,"MADIS, for example, uses NetCDF files as a standard interchange format.",
2005 - clarus low.txt,QCHS,undefined_in_document,816,Page 65 Clarus Weather System Design Detailed System Requirements Specification 4.9 Quality Checking Services (QChS) The requirements in this section specify the services needed for quality checking.,Quality Checking Services
2005 - phin.txt,FEDEX,undefined_in_document,97,"2.2.6.7 Information about batch shipments of specimens/samples that are transferred to test laboratories or other facilities must be collected, including the shipper (e.g., UPS, FedEx), shipment tracking number, and the sending organization’s contact information.",
2005 - pontis.txt,HIFI,undefined_in_document,33,"In the Volere methodology, there are several main phases: • Project Blastoff - Define the project scope, context, and participants, and initiate the requirements process • Trawling For Knowledge - Collect information needed to write the requirements document • Reporting - Compile the requirements and write the requirements document • Quality Gateway – (continuously) Review the requirements as they are drafted for completeness, relevance, and viability • Prototyping and Scenario Modeling – (eventually) Develop low-fidelity and/or high-fidelity (HiFi) prototypes to better develop the requirements • Perform Requirements Gathering Effort Post-mortem (Retrospective Review) - review outcome of the requirements process following completion of the requirements document • Take Stock Of The Requirements – Determine if the requirements are complete and internally consistent These phases culminate in this requirements specification which can move forward to the formal software design phase.",
2005 - triangle.txt,GAME,undefined_in_document,80,"3.2.3 Functional Requirements Game.Multiple The system supports multiple games, and can load additional games from an external source 3.3 Player can choose from multiple opening positions 3.3.1 Description and Priority After selecting the game the player selects the opening position for the game.",
2006 - eirene sys 15.txt,NSSS,undefined_in_document,110,- Network sub-systems (NSSs) interfacing to the BSS via the GSM ‘A’ interface.,
2006 - eirene sys 15.txt,MSCS,undefined_in_document,111,The NSS contains mobile services switching centres (MSCs) with primary responsibility for call control.,
2006 - eirene sys 15.txt,SIMS,undefined_in_document,119,- Subscriber Identity Modules (SIMs) containing information specific to single subscribers.,Subscriber Identity Modules
2006 - eirene sys 15.txt,QOS,undefined_in_document,257,"300ms represents our current best estimate of the QoS figure, although this will need to be confirmed through user trials.",
2006 - stewards.txt,MYSQL,undefined_in_document,264,"MySQL - A public domain, open-source database system using SQL Performance - A quantitative measure characterizing a physical or functional attribute relating to the execution of a mission/operation or function.",
2006 - stewards.txt,GUIS,undefined_in_document,275,"For examples, the graphical user interfaces (GUIs) -- windows, icons, and pop-up menus have become standard on personal computers.",
2006 - stewards.txt,UGIS,undefined_in_document,332,"In other words, the Entity-Relationship (ER) diagrams for measurement data and user graphic interfaces (UGIs) to connect all components will be developed.",
2006 - stewards.txt,ARCIMS,undefined_in_document,463,System Requirements Specification for STEWARDS Page 37 3.0 System Searches 3.3 Watershed-specific Search 3.3.0.2 User selects watershed 3.3.4 Characterize watershed GIS interface 3.3.4.1 Initialize ArcIMS for seleted watershed ArcIMS Mapping Engine Image rendering - Create an interactive map.,
2006 - stewards.txt,ARCSDE,undefined_in_document,466,Metadata - Access metadata stored in ArcSDE.,
2007 - get real 0.2.txt,OUSEDU,undefined_in_document,57,~getreal.ous.edu~ Being part of the OUS domain will maximize Google and other search engine hits.,Operating Environment The Get Real
2007 - mdot.txt,CONOPS,undefined_in_document,18,A system requirements specification states what must be accomplished to fulfill the vision described in a concept of operations (ConOps).,
2007 - mdot.txt,IEEE,undefined_in_document,33,(IEEE) standards for System Requirements Specifications.,
2007 - mdot.txt,OEMS,undefined_in_document,153,The automobile manufacturers—original equipment manufacturers (OEMs) — become stakeholders in DUAP because VII data becomes available to transportation agencies only if those OEMs provide equipment and communication systems on their vehicles for transmitting the data to the VII network.,
2007 - nde.txt,DDRS,undefined_in_document,95,3.3.1.6 Data Delivery Notifications The System shall be capable of receiving Data Delivery Reports (DDRs) from the IDPS.,Data Products
2007 - nde.txt,TBS,undefined_in_document,109,3.5 Internal data Requirements 3.5.1 Test Data Capacity The System shall have the capacity to store 4 Terabytes (TBs) of data for testing purposes.,Tasks The System
2007 - nde.txt,MCIDAS,undefined_in_document,474,"and support operational than 2 hours per production including occurrence but not limited to: Linux, AIX, Unix, Solaris, Windows, McIDAS All operational The Contractor shall Baseline software Review of baseline software are to latest update baseline shall be upgraded software database.",
2007 - nde.txt,AM,undefined_in_document,483,(8:30 a.m.,
2007 - nde.txt,PM,undefined_in_document,486,p.m.,
2007 - water use.txt,ARCGIS,undefined_in_document,65,Scientific Priscilla Thoopthong ArcGIS programming support Lead Programmer Analyst Robin Allen Provide expertise on how the Senior Systems Analyst Regulatory database is built.,
2007 - water use.txt,ARCSDE,undefined_in_document,73,2.4.1.2 HP-UX ArcSDE/Oracle Data Server The District is currently retiring the obsolete HP Tru-64 computer system and replacing it with an HP-UX system.,
2007 - water use.txt,ARCIMS,undefined_in_document,80,2.4.1.5 Desktop Workstations It is anticipated that this system will operate within the ArcGIS ArcView and ArcIMS web browser environment that is currently implemented at the District.,
2007 - water use.txt,ARCMAP,undefined_in_document,588,"If ArcMap, has to be able to run in Citrix ArcView.",
2008 - peering.txt,CDNS,undefined_in_document,5,"Introduction 1.1 Purpose This document describes the requirements specification (SRS) for the software infrastructure (or product) that enables the internetworking of Content Delivery Networks (CDNs) through peering, henceforth termed as ‘CDN peering’, and provides an overall description of it.",Communications Interfaces
2008 - peering.txt,WSS,undefined_in_document,39,"flash crowds, when the (primary) CDN realizes that it cannot handle a part of the workload on its Web Servers (WSs).",Web Servers
2008 - peering.txt,SLAS,undefined_in_document,44,Negotiated relationships can also be established through means non- technical terms (financial statement) or technical terms (SLAs).,
2008 - peering.txt,QOS,undefined_in_document,73,"(cid:131) Decrease cost of Web access, increase QoS through reduced latency, reduce server load, and bandwidth consumption (by a particular CDN server), thus improving the performance of content delivery.",
2008 - peering.txt,CODEEN,undefined_in_document,141,"In this regard, necessary inspirations could be obtained by analyzing related systems such as CoDeeN, Coral, Globule, and MotusNet.",
2008 - vub.txt,BIBTEX,undefined_in_document,2044,BibTEX: This is a tool for formatting lists of references.,
2008 - vub.txt,HE,undefined_in_document,2073,• AnAdministratorhasallthepossibilitiesofamoderatorextendedwiththeresponsibility forthetechnicalaspectsofthePMS.He/Shealsohasthepossibilitytoupordowngrade the accounts of users and in extreme cases he can even expel registered users.,
2008 - vub.txt,MYSQL,undefined_in_document,2083,INTERFACES 13 2.2 Interfaces 2.2.1 System Interfaces • Database: The system contains an interface with a MySQL-Database.,
2009 - email.txt,FLUS,undefined_in_document,76,Higgins scott_higgins@dcf.state.fl.us Participant Workgroup 727.518.3202 ext.,
2009 - peazip.txt,PEAZIP,undefined_in_document,7,"Introduction 1.1 Purpose The present document is a software requirements specification document for PeaZip , version 2.7.1.",Purpose The
2009 - peazip.txt,WINRAR,undefined_in_document,32,"PeaZip works similarly to a large group of well-known applications, like WinRAR and WinZip.",
2009 - peazip.txt,WINZIP,undefined_in_document,32,"PeaZip works similarly to a large group of well-known applications, like WinRAR and WinZip.",
2009 - peppol.txt,DOCID,undefined_in_document,568,"ItemName, DocName, DocTitle, DocLanguage, DocFormat, DocID, DocIssue date, DocExpiration date) E C 2.3.3 Major Features, Requirements and Quality Attributes This subsection lists the major features, requirements and quality attributes that are significant for a VCD simple package.",
2009 - peppol.txt,VGCD,undefined_in_document,576,• Identity and access management MUST provide an interface to submit sensitive economic operator data (for example by uploading attestations that verify sensitive economic operator data) in order to allow theP econo meic ope ratnor to a ppdly for thei cr eatnion of a VgCD a cco un t.,
2009 - peppol.txt,VACD,undefined_in_document,583,• A change procedure MUST be defined in order to modify sensitive economic operator data that is connected to th e VaCD a ccpount.,
2009 - peppol.txt,LEX,undefined_in_document,845,"Such a solution would then be also depended on mutually recognized, context- specific data formats provided by some specific networks such as BRITE or ECRIS (Siemens_and_Time.lex 2008).",
2009 - peppol.txt,PPEPPO,undefined_in_document,1471,An economic operator for example has to submit a VC D avia th e PpEPPO L pinfras trucrture .,
2009 - peppol.txt,POWL,undefined_in_document,1576,"Formal semantics enables users to share and integrate information easily by using descriptive technologies like the Resource Description Framework (RDF), the Web Ontology Lanaguag e (pOWL) anpd the darta-c enotric Ex tenvsible Maarkup Lalng uage (XML).",
2009 - peppol.txt,VNCD,undefined_in_document,1630,4.3 Austrian implementation and piloting proposal 4.3.1 Implementation approach Austria will implement Pand pi lot ea VC D nservice bdased on ithe VnCD co ncgept in tro du ced in this report.,
2009 - peppol.txt,OAT,undefined_in_document,1724,SW OaT ana lyspis ther ebpy grou psr key pioeces o f invform atioan into calte gories: • Internal factors: The internal strengths and weaknesses of the proposed project.,
2009 - peppol.txt,CPD,undefined_in_document,1951,Level of completeness One of the two axes oaf the V CpD matr ix pmodel .,
2009 - video search.txt,USENET,undefined_in_document,169,Software Requirements Specification for x-ray Page 12 Appendix C: Issues List In the next version we will consider adding a system to also search UseNet Binaries.,
2009 - warc III.txt,BNF,undefined_in_document,31,"Specifically, Hanzo plan to involve IIPC member institutions to work on creating and/or reviewing requirements during the inception phase of the project, which includes a questionnaire prepared by BnF.",
2009 - warc III.txt,DK,undefined_in_document,33,"Participating institutions are: Denmark (Netarchive.dk) — will contribute at the testing level, will use a copy of some of their data as test data.",
2010 - gparted.txt,LIVECD,undefined_in_document,64,"It is a LiveCD application, which means it runs at system boot, resides in your computer’s RAM memory, and disappears upon reboot, after having performed the desired functions.",
2010 - mashboot.txt,VOIP,undefined_in_document,1031,"Although the plethora of widely available and affordable communications technology (e.g., social media, VoIP, streaming video, etc.) theoretically reduces both capital and operating expenditures related to marketing, the quantity of such technologies and services effectively creates an ”opportunity overload” which makes the process of maintaining a focused and effective marketing campaign more difficult.",
