acronym,expansion,file,sent_idx,sentence
UIF,User Interfaces,1995 - gemini.txt,23,"1 Introduction 1-1 1.1 Purpose 1-1 1.2 Scope 1-1 1.3 Applicable documents 1-1 1.4 Glossary, abbreviations, and acronyms 1-2 1.5 Overview 1-4 1.6 Credits 1-4 2 General Description 2-1 2.1 System Users 2-1 2.2 Operational levels 2-2 2.3 Access modes 2-2 2.4 locations of users of the system 2-3 2.4.1 Gemini 8m Telescopes Enclosure 2-3 2.4.2 Gemini 8m Telescopes Control Facility 2-3 2.4.3 Gemini 8m Telescopes Site Support Facility 2-4 2.4.4 Gemini 8m Telescopes Base Facility 2-4 2.4.5 Gemini 8m Telescopes Remote Operations Facility 2-4 2.4.6 Satellite Site Facility 2-4 2.4.7 Institutional Site Facility 2-4 2.5 User-level requirements 2-5 2.5.1 User Needs 2-5 2.5.2 Users of the System 2-6 2.6 Operational context 2-9 2.6.1 Multi-telescope context 2-9 2.6.2 Multi-instrument context 2-9 2.6.3 Visitor instrument context 2-10 2.6.4 Multi-user context 2-12 2.7 Observing mode requirements 2-12 2.7.1 Interactive observing 2-13 2.7.2 Queue-based 2-13 2.7.3 Remote operations 2-14 2.7.4 Service 2-17 2.8 Observing Support 2-18 2.8.1 Planned Observing 2-18 2.8.2 Flexible Scheduling 2-18 2.9 General software requirements 2-19 2.9.1 Control information flow 2-19 2.9.2 Astronomical data flow 2-20 2.9.3 Video information flow 2-21 2.10 Operation Privileges, Protections, and Procedures 2-21 2.11 General performance and reliability requirements 2-22 2.11.1 Capacity 2-22 2.11.2 Response time 2-22 2.11.3 Availability 2-22 2.12 Test and checkout requirements 2-23 2.13 Contingencies 2-23 2.13.1 Fault notification 2-23 2.13.2 Fault tolerance 2-23 2.13.3 Redundancy 2-24 2.14 Constraints 2-24 2.14.1 User constraints 2-24 2.14.2 Hardware constraints 2-24 2.14.3 Software constraints 2-24 2.14.4 Design constraints 2-25 3 General Requirements 3-1 3.1 Data Specifications 3-1 3.1.1 Control Information Flow 3-1 3.1.2 Astronomical Data Flow 3-2 3.1.3 Other Information Flow 3-3 3.2 Operation 3-3 3.2.1 Operation levels 3-3 3.2.2 privilege and protection levels 3-4 3.2.3 Capacity 3-4 3.2.4 Performance criteria 3-5 3.2.5 Procedures 3-5 3.3 External Interface Requirements 3-6 3.3.1 User Interfaces (UIF) 3-6 3.3.2 Hardware interfaces 3-6 3.3.3 Software interfaces 3-7 3.3.4 Communication interfaces 3-10 3.4 General Constraints 3-11 3.4.1 User constraints 3-11 3.4.2 Hardware constraints 3-12 3.4.3 Software constraints 3-13 3.5 Attributes 3-14 3.5.1 Simplicity 3-15 3.5.2 Supportability 3-15 3.5.3 Reliability and Availability 3-16 3.5.4 Maintainability 3-17 3.5.5 Human Engineering 3-20 3.5.6 Security and Safety 3-20 3.5.7 Testability 3-23 3.5.8 Expandability 3-24 3.5.9 Modularity 3-24 3.5.10 Contingencies 3-25 3.5.11 Concurrency 3-25 3.6 Life Cycle Aspects 3-25 3.7 Development environment 3-26 3.8 Installation Aspects 3-26 4 Specific Requirements 4-1 4.1 Attributes 4-1 4.1.1 Maintenance 4-1 4.1.2 Modularity 4-1 4.2 Other Controls and Software Requirements 4-2 4.2.1 On-line database subsystems 4-2 4.2.2 Communication subsystems 4-3 4.2.3 Data specification 4-3 4.2.4 System operational requirements 4-5 4.2.5 Standards 4-7 4.2.6 Life cycle constraints 4-15 4.3 User Requirements for EPICS Developers 4-15 4.3.1 EPICS Components 4-15 4.3.2 GEMINI Breakdown of Tasks 4-19 4.3.3 GEMINI Definitions 4-21 4.3.4 Required Developer Skills 4-21 5 Commands 5-1 5.1 Command Routing 5-1 5.2 Command Structure 5-2 5.3 General Purpose Commands 5-2 5.3.1 Status Commands 5-2 5.3.2 Generic Commands 5-3 5.4 Data Communications 5-4 5.5 IOC Commands 5-5 5.5.1 Local Database Access 5-5 5.5.2 Time Handling 5-5 5.5.3 Remote DB Access 5-6 5.6 Command Implementation 5-6 1 The document defines the operational requirements for Gemini Control System software."
ACRONYMS,command,1995 - gemini.txt,37,"DBMS Database Management System Eavesdropping Allowing an observer to watch an observation from a secondary site ESO European Southern Observatory FITS Flexible Image Transport System GUI Graphical User Interface GLOSSARY, ABBREVIATIONS, AND ACRONYMS (command) Handshaking A software protocol where subsystems acknowledge acceptance of a com- mand."
OCS,but always through the Observatory Control System,1995 - gemini.txt,259,"B.Interactive operation is supported, but always through the Observatory Control System (OCS)."
BIT,TEST AND CHECKOUT REQUIREMENTS The telescope and instrument software shall contain built-in test,1995 - gemini.txt,436,TEST AND CHECKOUT REQUIREMENTS The telescope and instrument software shall contain built-in test (BIT) facilities to verify Gemini 8m Telescopes system and Gemini 8m Telescopes software performances.
FITS,Definition of the Flex- ible Image Transport System,1995 - gemini.txt,515,"OPERATION Astronomical data will have to be transported between GEMINI and the home institutes of visiting astronomers in FITS format (as defined by NOST 100-1.0, “Definition of the Flex- ible Image Transport System (FITS)”, NASA Science Office of Standards and Technol- ogy)."
DBMS,A relevant example of such a package is a general database management system,1995 - gemini.txt,609,"A relevant example of such a package is a general database management system (DBMS), where operational information such as schedules, logs, problem reports and maintenance information related to various pieces of equipment should be kept."
WAN,Access from Wide Area Network,1995 - gemini.txt,622,•Access from Wide Area Network (WAN) for remote diagnostics and monitoring from operations facilities (Bi-directional traffic).
EPICS,Community software support,1995 - gemini.txt,715,Community software support (EPICS) is available nominally free-of-charge through the normal release and bug-fix procedures used in the community.
STP,Test procedure methods have to be defined in the Software Test Plan,1995 - gemini.txt,813,"Test procedure methods have to be defined in the Software Test Plan (STP), while test plans shall be written for all individual software packages and modules comprising the Gemini 8m Telescopes software."
SMP,The Gemini system maintenance philosophy is described in theSoftware Management Plan,1995 - gemini.txt,823,The Gemini system maintenance philosophy is described in theSoftware Management Plan (SMP).
X11R5,release 5,1995 - gemini.txt,969,"The GUI systems are to useX-windows, version 11, release 5 (X11R5) or release 6 (X11R6)."
X11R6,or release 6,1995 - gemini.txt,969,"The GUI systems are to useX-windows, version 11, release 5 (X11R5) or release 6 (X11R6)."
SPS,as specified in theSoftware Programming Standards,1995 - gemini.txt,990,"IOC software development is to be done using a common development environment, as specified in theSoftware Programming Standards (SPS) C.Software below the IOC level."
SPARC-10,model 41,1995 - gemini.txt,1034,"Where Gemini is providing the computer equipment as part of a contractual agree- ment, the developmental workstations are to beSUN SPARC-10 (model 41) or SPARC Classicwith64MB of dynamic memory."
CATS,Another large group of predominately Applicationsdevelopers that are starting work are the Collaborative Access Teams,1995 - gemini.txt,1191,Another large group of predominately Applicationsdevelopers that are starting work are the Collaborative Access Teams (CATS) at Argonne’s Advanced Photon Source (APS).
APS,s Advanced Photon Source,1995 - gemini.txt,1191,Another large group of predominately Applicationsdevelopers that are starting work are the Collaborative Access Teams (CATS) at Argonne’s Advanced Photon Source (APS).
SRS-001,C Unit Definitions,1998 - themas.txt,22,3-1 3.1.1.1 Load H/C Unit Definitions (SRS-001) .............
SRS-002,Load Thermostat Definitions,1998 - themas.txt,27,3-1 3.1.1.2 Load Thermostat Definitions (SRS-002) ...........
SRS-003,Load Utilization Parameters,1998 - themas.txt,32,3-2 i D_THEMAS_SRS_001 Table of Contents 3.1.1.3 Load Utilization Parameters (SRS-003) ...........
SRS-004,Set Trigger Values,1998 - themas.txt,37,3-2 3.1.1.4 Set Trigger Values (SRS-004) ....................
SRS-005,Set Overtemp Values,1998 - themas.txt,42,3-2 3.1.1.5 Set Overtemp Values (SRS-005) ...................
SRS-006,Establish Valid Temperature Range,1998 - themas.txt,47,3-3 3.1.1.6 Establish Valid Temperature Range (SRS-006) .....
SRS-007,Initialize System,1998 - themas.txt,51,3-3 3.1.2 Initialize System (SRS-007) .........................
SRS-008,Validate Temperature,1998 - themas.txt,56,3-4 3.1.3 Validate Temperature (SRS-008) ......................
SRS-009,Determine Temperature Status,1998 - themas.txt,62,3-4 3.1.4.1 Determine Temperature Status (SRS-009) ..........
SRS-010,C Mode,1998 - themas.txt,67,3-5 3.1.4.2 Determine H/C Mode (SRS-010) ....................
SRS-011,C Units,1998 - themas.txt,73,3-6 3.1.5.1 Determine Status of All H/C Units (SRS-011) .....
SRS-012,Generate Unit Unavailable Event,1998 - themas.txt,78,3-6 3.1.5.2 Generate Unit Unavailable Event (SRS-012) .......
SRS-013,C Request,1998 - themas.txt,83,3-7 3.1.5.3 Generate H/C Request (SRS-013) ..................
SRS-014,C Signal,1998 - themas.txt,88,3-7 3.1.6 Generate H/C Signal (SRS-014) .......................
SRS-015,Generate Alarm Data,1998 - themas.txt,93,3-8 3.1.7 Generate Alarm Data (SRS-015) .......................
SRS-016,Generate Event Data,1998 - themas.txt,98,3-9 iii D_THEMAS_SRS_001 Table of Contents 3.1.8 Generate Event Data (SRS-016) .......................
SRS-017,Change Thermostat Setting,1998 - themas.txt,103,3-9 3.1.9 Change Thermostat Setting (SRS-017) .................
SRS-018,Generate Reports,1998 - themas.txt,108,3-10 3.1.10 Generate Reports (SRS-018) ........................
SRS,Purpose This Software Requirements Specification,1998 - themas.txt,117,1.1 Purpose This Software Requirements Specification (SRS) specifies the qualification requirements for The Energy Management System (THEMAS).
THEMAS,specifies the qualification requirements for The Energy Management System,1998 - themas.txt,117,1.1 Purpose This Software Requirements Specification (SRS) specifies the qualification requirements for The Energy Management System (THEMAS).
ANSI,Overview This document is prepared in accordance with the American National Standards Institute,1998 - themas.txt,130,"1.5 Overview This document is prepared in accordance with the American National Standards Institute (ANSI) / Institute of Electrical and Electronics Engineers (IEEE) Guide to Software Requirements Specifications, ANSI/IEEE STD 830-1984."
IEEE,Institute of Electrical and Electronics Engineers,1998 - themas.txt,130,"1.5 Overview This document is prepared in accordance with the American National Standards Institute (ANSI) / Institute of Electrical and Electronics Engineers (IEEE) Guide to Software Requirements Specifications, ANSI/IEEE STD 830-1984."
TBD,to be determined,1998 - themas.txt,262,"Since the interface to control the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined)."
SRS,SOFTWARE REQUIREMENTS SPECIFICATION,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
DII,FOR THE DEFENSE INFORMATION INFRASTRUCTURE,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
COE,COMMON OPERATING ENVIRONMENT,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
XS,XML SERVICES,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
DATATWG,Prepared by DII COE AOG Data Access Services Technical Working Group,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
SSD-MD,Semi-Structured Data and Metadata Sub-panel,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
DISA,Co-Chairs Prepared For Defense Information System Agency,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
SERVICES,XS,1999 - dii.txt,0,"SOFTWARE REQUIREMENTS SPECIFICATION (SRS) DRAFT SOFTWARE REQUIREMENTS SPECIFICATION (SRS) FOR THE DEFENSE INFORMATION INFRASTRUCTURE (DII) COMMON OPERATING ENVIRONMENT (COE) XML SERVICES (XS) 11 JUNE 1999 Version 2.0 Prepared by DII COE AOG Data Access Services Technical Working Group (DATATWG) Semi-Structured Data and Metadata Sub-panel (SSD-MD) Jim Pipher & Jim Schoening, Co-Chairs Prepared For Defense Information System Agency (DISA) DRAFT TABLE OF CONTENTS SCOPE IDENTIFICATION OF FUNCTIONAL AREA This Software Requirements Specification (SRS) establishes the functional, performance, and verification requirements for the XML Services (XS) functional area of the Defense Information Infrastructure (DII) Common Operating Environment (COE)."
SHADE,Shared Data Environment,1999 - dii.txt,11,"APPLICABLE DOCUMENTS GOVERNMENT DOCUMENTS SPECIFICATIONS: Defense Information Infrastructure (DII), Shared Data Environment (SHADE), CAPSTONE DOCUMENT Version 1.0, 11 July 1996 ACCS-A1-100-006 System Specification for ATCCS, 22 March 1995 ATCCS-A1-302-001A Army Tactical Command and Control System Common ATCCS Support Software (CASS) Systems/Segment Specification CDRL A142 AWIS Software Requirements Specification (ASRD), July 1992 CDRL ML03 AWIS Systems Management Manual (SMM), 31 Oct."
CASS,March 1995 ATCCS-A1-302-001A Army Tactical Command and Control System Common ATCCS Support Software,1999 - dii.txt,11,"APPLICABLE DOCUMENTS GOVERNMENT DOCUMENTS SPECIFICATIONS: Defense Information Infrastructure (DII), Shared Data Environment (SHADE), CAPSTONE DOCUMENT Version 1.0, 11 July 1996 ACCS-A1-100-006 System Specification for ATCCS, 22 March 1995 ATCCS-A1-302-001A Army Tactical Command and Control System Common ATCCS Support Software (CASS) Systems/Segment Specification CDRL A142 AWIS Software Requirements Specification (ASRD), July 1992 CDRL ML03 AWIS Systems Management Manual (SMM), 31 Oct."
ASRD,Segment Specification CDRL A142 AWIS Software Requirements Specification,1999 - dii.txt,11,"APPLICABLE DOCUMENTS GOVERNMENT DOCUMENTS SPECIFICATIONS: Defense Information Infrastructure (DII), Shared Data Environment (SHADE), CAPSTONE DOCUMENT Version 1.0, 11 July 1996 ACCS-A1-100-006 System Specification for ATCCS, 22 March 1995 ATCCS-A1-302-001A Army Tactical Command and Control System Common ATCCS Support Software (CASS) Systems/Segment Specification CDRL A142 AWIS Software Requirements Specification (ASRD), July 1992 CDRL ML03 AWIS Systems Management Manual (SMM), 31 Oct."
SMM,July 1992 CDRL ML03 AWIS Systems Management Manual,1999 - dii.txt,11,"APPLICABLE DOCUMENTS GOVERNMENT DOCUMENTS SPECIFICATIONS: Defense Information Infrastructure (DII), Shared Data Environment (SHADE), CAPSTONE DOCUMENT Version 1.0, 11 July 1996 ACCS-A1-100-006 System Specification for ATCCS, 22 March 1995 ATCCS-A1-302-001A Army Tactical Command and Control System Common ATCCS Support Software (CASS) Systems/Segment Specification CDRL A142 AWIS Software Requirements Specification (ASRD), July 1992 CDRL ML03 AWIS Systems Management Manual (SMM), 31 Oct."
STACCS,December 1994 D18664A Standard Theater Army Command and Control System,1999 - dii.txt,12,"1994 AWIS Support Software Design Document, December 1994 D18664A Standard Theater Army Command and Control System (STACCS) System Design Document Version 1.1/As Built, 1 Oct."
GCCS,Global Command and Control System,1999 - dii.txt,15,"Global Command and Control System (GCCS) Integration Standard, Version 1.0, October 1994."
CM,The DISA Configuration Manager,1999 - dii.txt,90,The DISA Configuration Manager (CM) is responsible for distribution of the XS product to system developers.
DAC,Discretionary Access Controls,1999 - dii.txt,115,Discretionary Access Controls (DAC): A means of restricting access to objects based on the identity of subjects or groups to which they belong.
MAC,Mandatory Access Control,1999 - dii.txt,122,Mandatory Access Control (MAC): mediates access to an object based on the clearance level of the subject (user) and the sensitivity label of the object.
RAID,Redundant Array of Inexpensive Disks,1999 - dii.txt,130,"Redundant Array of Inexpensive Disks (RAID): A RAID system appears as one very large, reliable disk to the CPU."
RDA,Remote Data Access,1999 - dii.txt,139,Remote Data Access (RDA): is an ISO (9579) application layer interoperability standard (protocol and formats) to support access by an application to a (remote) DBMSs over an OSI network.
ISO,transaction processing,1999 - dii.txt,142,RDA also defines an interface to ISO (transaction processing) two phase commit TP services in the case where updates to multiple remote databases need to be coordinated.
SRI,A Standing Request For Information,1999 - dii.txt,149,"SRI: A Standing Request For Information (SRI) is a capability in which CASS monitors for the occurrence of conditions established by an application program, and notifies the calling or establishing application program when the conditions are satisfied."
DTD,Document Type Definition,1999 - dii.txt,166,"Document Type Definition (DTD)) or existing tags, you may submit your proposed tag to a Community of Interest (COI) and provide amplifying information for all to understand the semantics for its proper use."
COI,you may submit your proposed tag to a Community of Interest,1999 - dii.txt,166,"Document Type Definition (DTD)) or existing tags, you may submit your proposed tag to a Community of Interest (COI) and provide amplifying information for all to understand the semantics for its proper use."
POC,The COE Chief Engineer will approve a single Point of Contact,1999 - dii.txt,168,The COE Chief Engineer will approve a single Point of Contact (POC) for a COI to manage the tags within that COI.
