file,smell,sentence
0000 - cctns.txt,Ambiguity,Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.
0000 - cctns.txt,Vagueness,Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.
0000 - cctns.txt,Ambiguity,Distinguishing navigation links from controls: Navigation links should be clearly distinguishable from controls activating some action.
0000 - cctns.txt,Ambiguity,"Typical action types in user 28. interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and Hpresentation-related actions, such as sorting a list of search results."
0000 - cctns.txt,Ambiguity,Selecting appropriate page lengths The length of a page should be selected so as to support the primary purpose and use of the page.
0000 - cctns.txt,Ambiguity,"Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be 31. read quickly."
0000 - cctns.txt,Ambiguity,Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart.
0000 - cctns.txt,Ambiguity,Some users may have difficulties in perceiving certain colors or color combinations Ministry of Home Affairs Draft Core Scope Document Page 12 of 19 E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems (color-blindness).
0000 - cctns.txt,Ambiguity,"In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently."
0000 - cctns.txt,Ambiguity,Appropriate content presentation also plays a key role in accessibility.
0000 - cctns.txt,Vagueness,Linking back to the home page or landmark pages: Each page should contain a 38. link leading to the home page of the application or to a landmark page that is easy to recognize for the user.
0000 - cctns.txt,Vagueness,Individualization and user adaptation : Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient.
0000 - cctns.txt,Incompleteness,"such as employees of different levels, citizens etc, monitoring the user’s behaviour and adapting to the user’s goals that are inferred from the behaviour observed, recommending information that is potentially more relevant or interesting to the specific user, based on the behaviour of all users or a user group."
0000 - cctns.txt,Ambiguity,Performance and Scalability The System must provide adequate response times for commonly performed 1. functions under both standard and peak conditions The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the 2. storage capacity or number of cases in the system.
0000 - cctns.txt,Vagueness,Performance and Scalability The System must provide adequate response times for commonly performed 1. functions under both standard and peak conditions The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the 2. storage capacity or number of cases in the system.
0000 - cctns.txt,Incompleteness,"Aggressive page loading to be considered based on the screen and estimate usage pattern c) Leverage Asynchronous HTTP socket capabilities of web server for scalability and performance d) Host all the static content (documents, images) on the web server 24) e) The search results should be fetched from the database in batches of 10 or 20 maximum as configured within the application f) Display of records on the screen in batches/paged manner g) The search should fetch only the fields that need to be displayed to the user."
0000 - cctns.txt,Incompleteness,Only when the user clicks on a particular record to view its further details should a query be fired to fetch the additional details for this particular record only h) A hierarchical cache should be configured and used for caching of results of most Ministry of Home Affairs Draft Core Scope Document Page 18 of 19 E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems frequently used searches i) Database Indexes should be applied on the key columns used for searching Ministry of Home Affairs Draft Core Scope Document Page 19 of 19
0000 - gamma j.txt,Vagueness,This Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet.
0000 - gamma j.txt,Vagueness,The Web Store will be a quick and easy means to setup and operate an online Web Store.
0000 - gamma j.txt,Vagueness,Restricting to SQL allows easy of use and compatibility for Web Store.
0000 - gamma j.txt,Ambiguity,The interface must remain consistent among various web browsers and be intuitive to the customer.
0000 - gamma j.txt,Vagueness,The interface must remain consistent among various web browsers and be intuitive to the customer.
0000 - gamma j.txt,Ambiguity,3.6.2 Stimulus/Response Sequences • Web Browser initiates request to Web Server via HTTPS • Web Server parses request • Web Server submits request to API Service • API Service picks up request • API Service submits request to Plug-in • Plug-in picks up request • Plug-in runs tasks 8 GAMMA-J Web Store • Plug-in returns results • API Service validates results • API Service returns results • Web Server checks for completion • Web Server returns results to Web Browser • Web Browser displays results 3.6.3 Functional Requirements The system will implement an Application Interface to allow for various plug-ins to interact with the system.
0000 - gamma j.txt,Vagueness,"5.6 Usability Requirements 21 GAMMA-J Web Store • The system shall be easy to use • The system shall be easy to learn • The system shall utilize help bubbles to assist managers, customers, and administrators • The system shall employ easy to locate buttons • The system shall prompt customer with friend easy to read error messages."
0000 - gamma j.txt,Vagueness,• The system shall be easy to upgrade.
0000 - gamma j.txt,Vagueness,• The system shall be easy to migrate or backed up via another usb drive.
0000 - gamma j.txt,Ambiguity,"• The system shall adhere to the following hardware requirements: • 4GB Flash ram chip • 128MB SDRAM • Intel XScale PXA270 520-MHz chipset • OS: Apache web server • Database: MySQL 22 GAMMA-J Web Store Appendix A: Glossary Plug and play: Plug and play is a computer feature that allows the addition of a new device, normally a peripheral, without requiring reconfiguration or manual installation of device drivers."
0000 - gamma j.txt,Vagueness,"SDRAM actually synchronizes itself with the CPU's bus and is capable of running at 133 MHz, about three times faster than conventional FPM RAM, and about twice as fast EDO DRAM and BEDO DRAM."
0000 - gamma j.txt,Ambiguity,"Business rule: A policy, guideline, standard, or regulation that defines or constrains some aspect of the business."
0000 - gamma j.txt,Vagueness,"Documentation Writers: Writers are able to take technical complexities and turn them into simple, understandable text."
0000 - gamma j.txt,Ambiguity,Scenario: A description of a specific interaction between a user and a system to accomplish some goal.
0000 - inventory.txt,Ambiguity,Very minimal and commonly understood Technical terminology is used.
0000 - inventory.txt,Vagueness,University related permissions 4.1. universityPart:create 4.2. universityPart:list 4.3. universityPart:show 4.4. universityPart:edit 4 4.5. universityPart:delete 5. search permission 5.1. search:simple 5.2. search:advanced 6. reports related permission 6.1. report:list 6.2. report:show 7.
0000 - inventory.txt,Ambiguity,"Audit related permissions 8.1. audit:list 8.2. audit:show Note that permissions for each administrative level are predefined  Level 0 has the permission to create requests only  Level 1 can control the assets and locations that he owns  Level 2 can control the assets and locations that owns and get all level1 permissions  Level 3 can control the assets and locations that owns and get all level2 permissions  Level 1, 2 and 3 can delegate some or all of their permission to any user  Level 4 has all possible permissions."
0000 - inventory.txt,Ambiguity,Any administrative level user can delegate another user to execute some or all his authorized actions.
0000 - inventory.txt,Vagueness,Web interface should use clear and consistence terminology in such a way that user; with basic experience on internet and office; find the application easy to use 6.2.
0000 - inventory.txt,Ambiguity,Inventory Admin does not have sufficient privileges to edit asset 4.
0000 - inventory.txt,Ambiguity,Inventory Admin does not have sufficient privileges to edit asset 4.
1995 - gemini.txt,Ambiguity,"Typical compression savings from these algo- rithms depend upon the amount of data loss that is acceptable, but can exceed 99%."
1995 - gemini.txt,Ambiguity,Typical compression savings with loss-less compression are 25-75%.
1995 - gemini.txt,Incompleteness,Sequencer The command interpreter for Science Programs and telescope control SRS Software Requirements Specification (this document) STARCAT Space Telescope Archive and Catalog TBD To Be Determined TCS Telescope Control Software VLT ESO’s Very Large Telescope VOS Virtual Observatory System - a model for designing the Gemini Control Sys- tem that seeks to minimize both intersystem dependencies as well as hide subsystem implementation details from system level operations.
1995 - gemini.txt,Incompleteness,"User-supplied data reduction tools, operating systems, CASE tools, etc."
1995 - gemini.txt,Vagueness,"All software will be maintained under a version control system, and must include facilities for easy (nearly automatic) inclusion into the Gemini software environment."
1995 - gemini.txt,Ambiguity,"They work with other users to determine appropriate observation scheduling changes, maintenance down-time, and system modifications."
1995 - gemini.txt,Vagueness,"This mode provides simple and safe access to the system for the collec- tion of science data, selection of instrument parameters, and quick-look data reduc- tion."
1995 - gemini.txt,Ambiguity,It is normally available only to the Telescope Operator and the science program sequencer when at operation level.
1995 - gemini.txt,Incompleteness,"It is possible to inquire about system utilization, efficiency, etc."
1995 - gemini.txt,Ambiguity,"In fact, this is the typical situation with the Telescope Operator, who is often concurrently accessing the system through the observer, monitor, and operator modes."
1995 - gemini.txt,Incompleteness,"This is the facility where offices, shops, etc."
1995 - gemini.txt,Incompleteness,"These are sites, generally located at existing observatories, universities, etc."
1995 - gemini.txt,Ambiguity,"that have some form of connectivity, perhaps via satellite sites and/or super sites, to the tele- scopes."
1995 - gemini.txt,Ambiguity,"(with some data compression). """
1995 - gemini.txt,Vagueness,"TABLE 2 - 2 User-level requirements User Class Operation Level Access Mode User Interface Astronomer Observing Planning, observing, moni- Simple, safe, controls toring grouped for convenience of observation activity."
1995 - gemini.txt,Vagueness,"Telescope Opera- Observing, mainte- Observing, monitoring, Organized for ease of tor nance, test operation, testing control and quick response to unsafe condi- tions, ability to monitor all subsystems as needed."
1995 - gemini.txt,Vagueness,"Administrator Observing, mainte- Monitoring, administrative Simple, safe, status nance, test inquiries only."
1995 - gemini.txt,Vagueness,"•Purpose of work Whatever their level of experience, observing astronomers will wish to concentrate on the efficient acquisition of astronomical data and on-line assessment of data qual- ity, rather than on the details of controlling the telescope and instruments."
1995 - gemini.txt,Ambiguity,"To allow observing astronomers to achieve this objective, the system must offer to a user an interface which, while fulfilling the various operational requirements in the different modes and offering status information both automatically and on request at any required level, is still simple to learn and secure in its use."
1995 - gemini.txt,Vagueness,"To allow observing astronomers to achieve this objective, the system must offer to a user an interface which, while fulfilling the various operational requirements in the different modes and offering status information both automatically and on request at any required level, is still simple to learn and secure in its use."
1995 - gemini.txt,Ambiguity,•Operation mode Traditional interactive operation shall normally be replaced by operation via an automatic sequencer.
1995 - gemini.txt,Ambiguity,Observing commands will normally be submitted via the User interface to a queue for later execution.
1995 - gemini.txt,Ambiguity,"It is evident that, for some functions (such as adjustment of spectrograph slit width for seeing conditions) it must be necessary to include interactive capability."
1995 - gemini.txt,Ambiguity,If they need to access other parts of the system appropriate reconfiguration pro- cedures have to be run.
1995 - gemini.txt,Ambiguity,•Operation mode Software development and maintenance staff usually work at the test level (see Section3.2.1.3 on page 3-4) for the part of the software under test.
1995 - gemini.txt,Ambiguity,Normally three scientific instruments are mounted on the cassegrain focus of the tele- scope.
1995 - gemini.txt,Ambiguity,"Various situations are possible for the other (inactive) instruments: •they shall be able to take calibration or flat field exposures in parallel •they shall be able to prepare for an exposure to start as soon as the telescope beam is switched back to them (in this case, they are in a hot standby situation) •they shall be able to work; at all foreseen operation levels (observing, maintenance, test) (see Section3.2.1 on page 3-3)."
1995 - gemini.txt,Vagueness,In particular coordinated motions of the Gemini system compo- nents with those of the visitor instrument (other than simple raster scans) will not be supported.
1995 - gemini.txt,Ambiguity,"However it must be recognized that: •the Gemini standards may not prove cost effective for some visitor instruments •the Gemini standards will evolve over time as requirements and technology change •the evolution of Gemini standards might require existing visitor instruments to rewrite or rework large areas of their control system •visitor instruments built later in time than the initial complement of Gemini instruments may want to take advantage of different and/or less expensive technology if it better suits the goals of their project For these reasons it is probably not possible to establish a combined standard to which all instruments, both Gemini and visitor, adhere to completely."
1995 - gemini.txt,Vagueness,"Independently of the location of users at the telescope site, they shall be able to access (according to their privileges) any part of the whole setup with a simple logon and configuration operation."
1995 - gemini.txt,Vagueness,A particularly simple case of multi-use of the system is multi-point monitoring.
1995 - gemini.txt,Ambiguity,"By this it is meant that, while some (active) user is in control of the Gemini 8m Tele- scopes, someone else can follow what they are doing by monitoring all the relevant data from telescope and instruments."
1995 - gemini.txt,Ambiguity,"OBSERVING MODE REQUIREMENTS Requirements: A.Normally executed with the sequencer by providing a computer executable program, in order to make efficient use of the Gemini telescope."
1995 - gemini.txt,Vagueness,"OBSERVING MODE REQUIREMENTS Requirements: A.Normally executed with the sequencer by providing a computer executable program, in order to make efficient use of the Gemini telescope."
1995 - gemini.txt,Ambiguity,Interaction will normally be via an automatic sequencer (see Section2.5.9 on page 2-6).
1995 - gemini.txt,Vagueness,"Queue-based observing is the primary observation mode used with the Gemini telescopes, as it is the best means of providing sound science data while maximizing efficient use of the telescope."
1995 - gemini.txt,Vagueness,"In addition, this should be a visu- ally-oriented environment providing a simple, easy-to-use interface to the astronomer."
1995 - gemini.txt,Ambiguity,OBSERVING MODE REQUIREMENTS E.It is assumed that the hardware involved in remote operations has been specified with sufficient bandwidth to support remote operations.
1995 - gemini.txt,Incompleteness,"However, we will take advantage of commercially available protocols such as ISDN, TCP/IP, Internet, etc."
1995 - gemini.txt,Ambiguity,"Remote control means that the function normally associated with a local Telescope Opera- tor, that of entering telescope control commands, would be available from a remote site."
1995 - gemini.txt,Ambiguity,Remote users shall normally interact with the system via •operators at the Gemini 8m Telescopes control facility •operators at the Gemini 8m Telescopes site facility •operators at the Gemini 8m Telescopes base facility •operators at the Gemini 8m Telescopes remote operations facility •via the scheduler program and shall not control any part of the Gemini 8m Telescopes directly.
1995 - gemini.txt,Vagueness,"In addition, this should be avisually-ori- ented environment providing a simple, easy-to-use interface to the astronomer."
1995 - gemini.txt,Ambiguity,"But interactive observing is perhaps, in some cases, not the most efficient way to achieve this, although it will be necessary for certain kinds of observations (such as adaptive optics) and in certain phases (such as commissioning and test periods)."
1995 - gemini.txt,Vagueness,"But interactive observing is perhaps, in some cases, not the most efficient way to achieve this, although it will be necessary for certain kinds of observations (such as adaptive optics) and in certain phases (such as commissioning and test periods)."
1995 - gemini.txt,Ambiguity,"To achieve efficient service observing, queue observing, and flexible scheduling, it should be possible to carry out observations automatically, in accordance with pre- defined sequences of exposures, as is commonly done in space observatories."
1995 - gemini.txt,Vagueness,"To achieve efficient service observing, queue observing, and flexible scheduling, it should be possible to carry out observations automatically, in accordance with pre- defined sequences of exposures, as is commonly done in space observatories."
1995 - gemini.txt,Incompleteness,"So whichever scheme is adopted to perform automatic sequences, interaction shall be allowed at the desired level (for example, only on error conditions, any time the user is allowed to break a sequence, etc.)."
1995 - gemini.txt,Ambiguity,"This can be achieved only with the help of appropriate scheduling software, which must advise the operations team on the best choice to make which is compatible with the relative priorities of the various observing programs."
1995 - gemini.txt,Ambiguity,It should be recognized that such ‘expert scheduling’ software does not currently exist - it should be a requirement of such software that it have an operational mode which merely supports the decision making process by presenting appropriate information.
1995 - gemini.txt,Incompleteness,"B.All subsystems must respond to a common set of commands to test operational status, inquiries as to version, perform self-tests, etc."
1995 - gemini.txt,Incompleteness,"All IOC subsystems must respond to additional common commands for such activities as start, stop, initialize, reset parameters, etc."
1995 - gemini.txt,Vagueness,"C.The support structure for communicating commands must be reliable, with a uniform ACK/NAK protocol adopted across all systems."
1995 - gemini.txt,Incompleteness,"The following requirements apply to the control and transfer of astronomical data in all forms (science, engineering, reference, etc.)"
1995 - gemini.txt,Ambiguity,Astronomical data is often detector readout limited so that disk access and data transfer times are not significant.
1995 - gemini.txt,Ambiguity,"Data is normally acquired as uncompressed data, but may be compressed using aloss-less compression technique for transmission from the Gemini system or across the system LAN."
1995 - gemini.txt,Vagueness,Quick-look data quality assessment is done using this level.
1995 - gemini.txt,Vagueness,The requirements for transferring video data are: A.The system must allow for fast transmission of rough images every0.5 sec.
1995 - gemini.txt,Incompleteness,"JPEG, MPEG, etc)."
1995 - gemini.txt,Vagueness,These privileges should be determined in a simple manner during logging into the system.
1995 - gemini.txt,Ambiguity,The appropriate limits are: A.Every command must be accepted/rejected within2 sec and before the correspond- ing action occurs.
1995 - gemini.txt,Ambiguity,All software bugs should be logged and then fixed as soon as possible after detection.
1995 - gemini.txt,Incompleteness,"Fault recovery, exception handling, fail-safe checks, etc."
1995 - gemini.txt,Incompleteness,"It may also prove useful to have multiple levels of fault notification such as detailed, ver- bose, short, etc."
1995 - gemini.txt,Vagueness,"In case of computer hardware failure concerning the user station equipment, it shall be possible to transfer control from one user station to another via a simple software reconfig- uration procedure."
1995 - gemini.txt,Incompleteness,"Only policy deci- sions (permissions, access privileges, etc.)"
1995 - gemini.txt,Ambiguity,"H.All Gemini software is to be fully documented, internally with appropriate comments, and external documentation."
1995 - gemini.txt,Ambiguity,Therefore all hardware subsystems must provide a software simulation module (as stated earlier) that responds in reasonable fashion to commands directed at that hardware.
1995 - gemini.txt,Vagueness,3 The final purpose of the Gemini 8m Telescopes software is the acquisition of astronomical data in digital form in the most efficient way.
1995 - gemini.txt,Ambiguity,up to 200 Hz for some information).
1995 - gemini.txt,Ambiguity,"Normally, raw data will be acquired and stored as such for quick look evaluations."
1995 - gemini.txt,Vagueness,"Normally, raw data will be acquired and stored as such for quick look evaluations."
1995 - gemini.txt,Vagueness,"There might, however, be cases (for example, infrared detectors) where fast prepro- cessing is needed and where, therefore, raw data will not be stored as such, but in a preprocessed format."
1995 - gemini.txt,Ambiguity,"For example some users might only be allowed monitoring, as a subsystem is in use by someone else."
1995 - gemini.txt,Ambiguity,"OPERATION Some tests might be run in parallel on instruments that do not have the light beam at that moment, so in principle additional nodes might be working at the same time."
1995 - gemini.txt,Ambiguity,The standard software must be adequate for the real-time requirements and must offer drivers to the standard electronics to be used on all the Gemini 8m Telescopes software subsystems and instruments.
1995 - gemini.txt,Ambiguity,"In order to make efficient use of the telescope, to support different observing modes, and to support the versatility requirements, some form of on-line image (or pixel) quick-look analysis is required."
1995 - gemini.txt,Vagueness,"In order to make efficient use of the telescope, to support different observing modes, and to support the versatility requirements, some form of on-line image (or pixel) quick-look analysis is required."
1995 - gemini.txt,Incompleteness,"The following statements are proposed: “It shall be possible to monitor the quality (image quality, spectral resolution, signal to noise, etc.)"
1995 - gemini.txt,Vagueness,"Advanced pipeline procedures might make this feasible, at least for observations of a standard nature.” The above statements define the goal of quick-look analysis for the Gemini 8m Tele- scopes."
1995 - gemini.txt,Vagueness,"Quick-look data processing should be provided on the Gemini 8m Telescopes, with procedures suitable for fast on-line data preprocessing."
1995 - gemini.txt,Vagueness,"Quick-look should be usable within exposure sequences to provide results and feed- back parameters to the control software in a programmed way, without the need for manual intervention."
1995 - gemini.txt,Vagueness,This document does not try to be specific about the require- ments for Quick-look other than that it should be synchronous.
1995 - gemini.txt,Vagueness,Near-line processing should be available for simple data reductions required for data integrity validation (i.e.
1995 - gemini.txt,Ambiguity,"EXTERNAL INTERFACE REQUIREMENTS It should also be noted that some Gemini 8m Telescopes subsystems, such as adaptive optics, may require their own special on-line pixel processing software, which is better defined in the requirements for those subsystems."
1995 - gemini.txt,Vagueness,"In all these cases the specific on-line (quick-look) software development shall be seen as a subset of the development for the off-line data reduction system, to avoid as far as possi- ble duplication of development effort."
1995 - gemini.txt,Incompleteness,"The specific types of data available; flat fields, calibrations, science exposures, etc."
1995 - gemini.txt,Ambiguity,"A relevant example of such a package is a general database management system (DBMS), where operational information such as schedules, logs, problem reports and maintenance information related to various pieces of equipment should be kept."
1995 - gemini.txt,Ambiguity,"It will then be an operational decision, implying privileges and pri- orities for the various categories of users, and definition of what a given user can actually do."
1995 - gemini.txt,Ambiguity,"Although some of these constraints may appear redundant the project recognizes that: •during the next 5 to 10 years new hardware will be available with features and costs that could benefit the project •the hardware chosen as the standard at this point of time may be no longer available at some point in the future •the cost of maintaining an existing hardware standard, even if available, may exceed the costs of adopting a new hardware standard These constraints recognize that the majority of the expense in changing hardware standards is the cost of the software."
1995 - gemini.txt,Ambiguity,"C.Common development and implementation tools must be both available and sup- ported D.Identical network access must be supported E.Local processing power must be such that telescope and instrument control does not represent a significant overhead in the whole process of executing an observing pro- gram (the overhead, if any, should be limited by the time it takes for physical devices to act) GENERAL CONSTRAINTS F.The choice of a scalable hardware architecture with computers at various performance levels should solve the problem of adequate on-line data assessment, as the amount of this activity is very variable and dependent upon the kind of detector and method used."
1995 - gemini.txt,Ambiguity,"Depending on funding, it is probably reasonable here to make a minimum and a desirable specification."
1995 - gemini.txt,Ambiguity,Some of the general requirements which have a direct effect on the software are here explicitly transformed into software constraints.
1995 - gemini.txt,Ambiguity,D.Switching to different configurations must be possible at any time with appropriate pro- cedures.
1995 - gemini.txt,Vagueness,E.There must be easy procedures to reconfigure the system when subsystems are modified or removed.
1995 - gemini.txt,Ambiguity,"M.At boot time, the Gemini 8m Telescopes software shall check the consistency of ver- sions of all the various software components."
1995 - gemini.txt,Ambiguity,"Whether the software is table driven, message driven, or a combination of both is a function of the individual work packages and defined in the appropriate work pack- age description."
1995 - gemini.txt,Ambiguity,"Changing system constants, such as arcseconds/bit for an encoder, shall not require recompiling but will be updated as part of system startup, and, for some constants, will be modifiable during operation."
1995 - gemini.txt,Vagueness,"The specific attributes described in this document are: • Simplicity • Supportability • Reliability and Availability • Maintainability • Human Engineering • Security and Safety • Environmental Compatibility • Testability ATTRIBUTES • Expandability • Modularity • Concurrency I think you should include Rick’s information about complexity criteria here, so show that we are aiming to achieve as simple as system as we can which meets the requirements."
1995 - gemini.txt,Incompleteness,The plan is TBD.
1995 - gemini.txt,Ambiguity,The requirements for this program and some measures of reliability are detailed below.
1995 - gemini.txt,Vagueness,Simple mechanisms should exist for replacing a subsystem with its simulation.
1995 - gemini.txt,Vagueness,This interlock must not depend on any software for reliable operation.
1995 - gemini.txt,Incompleteness,"The precedence for conforming to safety requirements will be: 1. design for minimum risk 2. incorporate safety devices 3. provide warning devices 4. develop procedures and training The general safety requirements are: A.eliminate hazards through design, including material selection B.isolate hazardous substances from people ATTRIBUTES C.minimize hazard to people during operation and maintenance from high voltage, electro- magnetic radiation, sharp edges, hot surfaces, chemicals, etc."
1995 - gemini.txt,Incompleteness,"D.minimize risks due to environmental conditions, such as temperature, noise, vibration, etc."
1995 - gemini.txt,Ambiguity,All software is to be developed using typical modularization and standardization techniques.
1995 - gemini.txt,Ambiguity,INSTALLATION ASPECTS The phasing of the various parts of the project is given in the [SMP].
1995 - gemini.txt,Ambiguity,All software is to be developed using typical modularization and standardization tech- niques.
1995 - gemini.txt,Vagueness,"During science planning, there should be validity and feasibility checks to help ensure effective and efficient use of the telescope."
1995 - gemini.txt,Ambiguity,"Where appropriate, these checks should also be performed during operation."
1995 - gemini.txt,Vagueness,All telescope and instrument parameters are kept in an on line database to permit easy implementation of table-driven applications.
1995 - gemini.txt,Ambiguity,The interface between software control packages is normally done via interface calls to the on-line database.
1995 - gemini.txt,Incompleteness,The implementation within the host workstation is TBD.
1995 - gemini.txt,Ambiguity,"This includesremote observing, remote control of telescope, enclosure, and instruments, multipoint monitoring, remote monitoring,remote access for testing, development, diagnostics, and maintenance, It is expected that all operational capability found in on site operations is extended to remote operations, with some degradation in performance resulting from WAN bandwidth considerations."
1995 - gemini.txt,Ambiguity,"There must be some form of security to control access to system features, possibly restricting some operations to specific remote sites (e.g."
1995 - gemini.txt,Incompleteness,"Hale Pohaku or Hilo in Hawaii, Cerro Tololo in Chile, etc.)"
1995 - gemini.txt,Ambiguity,The various types of data were presented earlier.
1995 - gemini.txt,Ambiguity,"This section examines the input, output, and interrelationships of the various data types."
1995 - gemini.txt,Incompleteness,"(developed software) OTHER CONTROLS AND SOFTWARE REQUIREMENTS E.All additional data that is not required on line (configuration information, detailed documentation, operation logs, etc.)"
1995 - gemini.txt,Incompleteness,"This includes catalogs, calibrations and flat fields available in archives, etc."
1995 - gemini.txt,Ambiguity,One criteria is that sufficient information be recorded during an observation to recre- ate the sequence of events that occurred during the observation.
1995 - gemini.txt,Ambiguity,"Normal operation is possible at all operation levels (observing, maintenance, and test) and applies to the following conditions (where appropriate) on any subsystem: 1."
1995 - gemini.txt,Incompleteness,"There should be tools available to extract error (and other) logging information by subsystem component, time- sequence, previous events, and so on."
1995 - gemini.txt,Ambiguity,"•Normally, there is no recovery possible from a fatal error except to shut-down and then restart the subsystem."
1995 - gemini.txt,Ambiguity,The system should monitor the rate of warning messages since an increase might indicate that some tun- ing or maintenance is appropriate.
1995 - gemini.txt,Ambiguity,"However, the operating environment at these levels is expected to provide sufficient performance for both human interaction and communi- cations."
1995 - gemini.txt,Ambiguity,Some packages (such as GUI interfaces and database interfaces) have higher portability requirements that may require the specification of higher level interfaces to the OS.
1995 - gemini.txt,Incompleteness,"B.The communication software must support the standardARPAservices (telnet, FTP, SMTP, etc) as well asNFS, RPC, IPC, and the Unixsocket interface library."
1995 - gemini.txt,Vagueness,B.Quick-look analysis will be throughPV-Wave/IDL.
1995 - gemini.txt,Incompleteness,"The catalogs available on the Gemini system are described in TBD, as are software access requirements."
1995 - gemini.txt,Ambiguity,Any compression on a transport medium is to be done using a standard commonly available algorithm and archives are to be intar format C.IOCs.
1995 - gemini.txt,Ambiguity,"In cases where there is a distributed network of target microprocessors involved at this level, it is appropriate to provide a standard sub-network."
1995 - gemini.txt,Ambiguity,It is entirely appropriate that changes will be made to take advan- tages of changes to that technology.
1995 - gemini.txt,Incompleteness,"OTHER CONTROLS AND SOFTWARE REQUIREMENTS FIGURE 4 - 1 Mauna Kea Cabling (Cerro Pachon is similar) G.Routers, gateways, etc."
1995 - gemini.txt,Ambiguity,This is a UNIX based workstation which can run various EPICS tools.
1995 - gemini.txt,Ambiguity,"This is VME/VXI based chassis containing a Motorola 68xxx processor, various I/O modules, and VME modules that provide access to other I/O buses such as GPIB."
1995 - gemini.txt,Ambiguity,Database The heart of an IOC is a memory resident database together with various memory resident structures describing the contents of the database.
1995 - gemini.txt,Incompleteness,"ai (Analog Input), ao (Analog Output), etc."
1995 - gemini.txt,Ambiguity,Some fields are common to all record types and others are specific to particular record types.
1995 - gemini.txt,Ambiguity,Record processing consists of some combination of a standard set of functions.
1995 - gemini.txt,Ambiguity,• Build Tools Tools are available to create the various database components from ASCII definition files.
